"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"5026",4.36426819158489e-292,1.56549446468874,0.753,0.271,8.08393397127269e-288,"7","Acer3"
"5027",0,1.56524766547227,0.639,0.169,0,"7","Pla2g7"
"5028",4.57192666251763e-253,1.56359319375287,0.593,0.182,8.4685797569814e-249,"7","Csf2rb"
"5029",1.40000615715532e-13,1.56250341570676,0.041,0.014,2.5932314048988e-09,"7","Dusp18"
"5030",2.10453299221593e-303,1.56146316920379,0.901,0.534,3.89822646148156e-299,"7","Ptpn1"
"5031",9.53561702530778e-61,1.55951656812655,0.144,0.042,1.76628234159776e-56,"7","Cd33"
"5032",3.83050616739067e-42,1.55866316180152,0.142,0.051,7.09524657385774e-38,"7","Gcsh"
"5033",7.38107666783898e-62,1.5585476128725,0.191,0.065,1.36719683118381e-57,"7","Plekhg3"
"5034",4.21190230377495e-302,1.55803056562777,0.927,0.519,7.80170663728235e-298,"7","Trps1"
"5035",7.07385178847811e-10,1.55590260916419,0.029,0.01,1.3102895667798e-05,"7","Gm13184"
"5036",3.92750460336343e-53,1.55503199478686,0.168,0.058,7.27491677681008e-49,"7","Sulf2"
"5037",0,1.55468705660867,0.916,0.477,0,"7","Taldo1"
"5038",4.72034266619111e-185,1.55438757091429,0.495,0.165,8.74349072058579e-181,"7","Prcp"
"5039",2.97654433373444e-93,1.55280404061631,0.216,0.062,5.5134530693763e-89,"7","Rnf217"
"5040",9.27080933310896e-101,1.55207883171465,0.326,0.119,1.71723201277177e-96,"7","Rnasel"
"5041",1.86624579314033e-10,1.54954110891276,0.031,0.011,3.45684708263384e-06,"7","Tmem198b"
"5042",7.72626474153885e-15,1.54954110891275,0.044,0.015,1.43113601807524e-10,"7","Arhgap27os2"
"5043",4.22079485916127e-74,1.5446565261155,0.238,0.085,7.81817831762443e-70,"7","Rasgrp2"
"5044",0,1.54455584498755,1,0.526,0,"7","Ifitm3"
"5045",6.08486560866445e-09,1.54446655200691,0.025,0.009,0.000112709965669292,"7","Wipi1"
"5046",3.69499474301567e-191,1.54351988341383,0.438,0.128,6.84423876248793e-187,"7","Rin2"
"5047",4.89802458707529e-117,1.54339647351693,0.363,0.13,9.07261094263955e-113,"7","Tep1"
"5048",3.14442235749162e-102,1.54263231131225,0.322,0.116,5.82441353278172e-98,"7","Arap1"
"5049",4.73806475234786e-18,1.53970674880818,0.053,0.018,8.77631734077394e-14,"7","Sord"
"5050",0,1.53931607884635,0.989,0.536,0,"7","Cebpb"
"5051",1.60603300717192e-09,1.53840055130755,0.028,0.01,2.97485493918456e-05,"7","Trim47"
"5052",0,1.53752851022066,0.669,0.195,0,"7","Cd68"
"5053",1.72881174064254e-75,1.53679971650968,0.203,0.064,3.20227798719218e-71,"7","I830077J02Rik"
"5054",7.19773773023647e-90,1.5366645720396,0.238,0.074,1.3332369597717e-85,"7","Btk"
"5055",3.57287245825849e-184,1.53590183660475,0.503,0.171,6.6180316544322e-180,"7","Rnpep"
"5056",0,1.53582770056761,0.684,0.202,0,"7","Dock4"
"5057",1.65940546856504e-21,1.53396830499229,0.069,0.024,3.07371674942302e-17,"7","Plscr3"
"5058",2.37978681083721e-16,1.53358353500978,0.052,0.019,4.40807910971376e-12,"7","Fuom"
"5059",1.84917328761659e-230,1.53340034727023,0.651,0.242,3.42522368065221e-226,"7","Soat1"
"5060",2.73250969603117e-192,1.52740126712658,0.45,0.132,5.06142770995854e-188,"7","Il13ra1"
"5061",5.04300483024309e-111,1.52626704973599,0.279,0.085,9.34115784705928e-107,"7","Ramp1"
"5062",1.245525296051e-128,1.52560752475559,0.363,0.121,2.30708650587527e-124,"7","Tmem106a"
"5063",5.89052412065186e-27,1.52482166792962,0.083,0.029,1.09110178286834e-22,"7","Pram1"
"5064",1.62133594099424e-205,1.52207660434174,0.507,0.159,3.00320056350363e-201,"7","Trib1"
"5065",1.96415046756997e-06,1.52124000014937,0.02,0.007,0.0363819591107985,"7","E230016M11Rik"
"5066",6.06549269550715e-57,1.5203540958901,0.187,0.067,1.12351121198879e-52,"7","Bri3bp"
"5067",4.42340414099215e-241,1.51776235475412,0.45,0.117,8.19347149035975e-237,"7","Hmox1"
"5068",3.99993731186701e-93,1.51586989432012,0.289,0.101,7.40908388277127e-89,"7","Mob3b"
"5069",1.11819650111897e-109,1.51565379800084,0.403,0.164,2.07123537902266e-105,"7","Degs1"
"5070",1.61749320562694e-255,1.51548341750813,0.544,0.157,2.99608266478278e-251,"7","Ctsl"
"5071",1.63840568908767e-279,1.51381097209557,0.731,0.258,3.03481885789709e-275,"7","Unc93b1"
"5072",6.54551604836377e-07,1.51113759661141,0.019,0.007,0.0121242593763842,"7","Ptges"
"5073",1.59560530381873e-06,1.51113759661141,0.019,0.007,0.0295553970426343,"7","Extl2"
"5074",1.79000173801213e-33,1.51084313900433,0.128,0.049,3.31562021931986e-29,"7","Adrb2"
"5075",4.56859304703555e-126,1.5106831328997,0.278,0.077,8.46240490102395e-122,"7","Tlr4"
"5076",8.77337924739888e-119,1.51046328248794,0.415,0.163,1.62509303799569e-114,"7","Il17ra"
"5077",8.6000816686006e-23,1.51037051163208,0.079,0.029,1.59299312747489e-18,"7","Il31ra"
"5078",8.93573736427672e-195,1.50774623376902,0.654,0.282,1.65516663198498e-190,"7","Tkt"
"5079",6.62429802667982e-149,1.50755418025274,0.373,0.115,1.2270187234819e-144,"7","Tmem176b"
"5080",0,1.50665369942672,0.844,0.277,0,"7","Ifi30"
"5081",1.70311351564392e-70,1.50599123547922,0.237,0.087,3.15467716502724e-66,"7","Lipa"
"5082",4.27501972874889e-29,1.50450014468926,0.091,0.031,7.91861904356156e-25,"7","Renbp"
"5083",0,1.50441292886813,0.899,0.384,0,"7","Cers6"
"5084",3.73145297194037e-28,1.50353117760274,0.091,0.032,6.91177033992514e-24,"7","Pilrb1"
"5085",1.03445789133772e-98,1.50350884012497,0.308,0.108,1.91612635212486e-94,"7","Rp2"
"5086",1.9721568701096e-30,1.50350116366316,0.105,0.038,3.65302617050401e-26,"7","Spsb2"
"5087",1.26233700796956e-53,1.50260533877787,0.161,0.054,2.33822683986202e-49,"7","Cmklr1"
"5088",5.6216250450261e-31,1.50228989907028,0.106,0.038,1.04129360709018e-26,"7","Nagpa"
"5089",1.70056008693103e-19,1.50154682729992,0.066,0.024,3.14994744902235e-15,"7","Mgme1"
"5090",2.29230959888944e-23,1.50102628064412,0.071,0.024,4.24604507002292e-19,"7","Siglec1"
"5091",4.51316543619246e-09,1.49899216674932,0.022,0.007,8.3597363374593e-05,"7","Reps2"
"5092",2.71399743072121e-20,1.49775856681021,0.069,0.025,5.0271374409249e-16,"7","Mocs1"
"5093",1.46006531361886e-41,1.49443725301896,0.126,0.043,2.70447898041621e-37,"7","Nlrp1b"
"5094",2.17259264645427e-26,1.49431425796864,0.086,0.03,4.02429335902725e-22,"7","Tnfsf14"
"5095",0,1.49384173873679,0.988,0.433,0,"7","Ifitm2"
